,id,last_scraped,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
39,646087,2024-09-18,3236611,Ingrid,2012-08-12,"Boston, MA",within a day,1.0,0.0,f,1,1,t,t,Private room in townhouse,Private room,1,1.0,1 shared bath,1.0,1.0,213.0,1,7,1.0,1.0,7.0,7.0,1.0,7.0,t,18,78,2024-09-18,8,0,0,2016-06-18,2022-05-30,5.0,5.0,5.0,5.0,4.88,STR-398090,f,0,1,0,0.08
40,708802,2024-09-18,3648427,Gerard  And Marie,2012-09-23,"Boston, MA",within an hour,1.0,0.94,t,2,2,t,t,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,207.0,2,60,1.0,2.0,60.0,60.0,2.0,60.0,t,5,36,2024-09-18,476,42,4,2012-10-13,2024-09-14,4.91,4.95,4.93,4.98,4.88,STR-401905,f,1,0,0,3.28
41,743211,2024-09-18,2796082,Margaret,2012-07-01,"Boston, MA",within an hour,1.0,0.99,t,2,3,t,t,Entire home,Entire home/apt,10,1.2,2.5 baths,4.0,1.0,213.0,4,30,3.0,5.0,1125.0,1125.0,3.4,1125.0,t,7,49,2024-09-18,82,8,1,2013-03-27,2024-09-02,4.85,4.78,4.73,4.99,4.68,STR-454183,f,2,0,0,0.59
42,750438,2024-09-18,3945438,Lisa,2012-10-22,"Boston, MA",within an hour,1.0,1.0,t,6,7,t,t,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,94.0,2,31,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,5,56,2024-09-18,287,27,3,2013-06-04,2024-09-11,4.89,4.9,4.82,4.95,4.92,STR-523680,f,0,1,0,2.09
43,753446,2024-09-18,3962517,Sami,2012-10-24,"Boston, MA",within a day,1.0,0.9,f,1,1,t,f,Private room in condo,Private room,2,1.0,1 shared bath,1.0,2.0,55.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,30,90,2024-09-18,142,0,0,2015-09-10,2019-07-27,4.82,4.91,4.91,4.91,4.68,STR-397984,f,0,1,0,1.29
44,801680,2024-09-18,8229,Terry,2009-02-19,"Boston, MA",within an hour,1.0,0.99,t,11,14,t,t,Entire condo,Entire home/apt,4,1.0,1 bath,0.0,1.0,164.0,3,90,1.0,3.0,90.0,90.0,3.0,90.0,t,6,40,2024-09-18,70,3,0,2012-12-04,2024-05-16,4.85,4.91,4.9,4.86,4.48,STR446651,f,10,0,0,0.49
45,820073,2024-09-18,1911807,Kelly & Chris,2012-03-12,"Boston, MA",within an hour,1.0,0.98,t,2,2,t,t,Entire loft,Entire home/apt,4,2.0,2 baths,1.0,2.0,516.0,2,1125,2.0,4.0,1125.0,1125.0,2.0,1125.0,t,16,50,2024-09-18,182,66,5,2013-04-17,2024-09-18,4.97,4.99,5.0,4.99,4.86,STR-411359,t,2,0,0,1.31
46,849408,2024-09-18,4434391,Damon,2012-12-18,"Boston, MA",within an hour,1.0,0.98,t,2,3,t,t,Entire rental unit,Entire home/apt,8,2.0,2 baths,3.0,5.0,369.0,4,1125,4.0,5.0,1125.0,1125.0,4.1,1125.0,t,4,55,2024-09-18,103,17,0,2014-01-02,2024-08-13,4.86,4.91,4.85,4.93,4.73,STR-456742,f,2,0,0,0.79
47,863788,2024-09-18,775932,Andy & Daljit,2011-07-04,"Boston, MA",,1.0,1.0,f,1,1,t,t,Entire condo,Entire home/apt,4,1.2,2 baths,2.0,1.0,213.0,3,150,3.0,3.0,150.0,150.0,3.0,150.0,t,0,0,2024-09-18,25,3,0,2013-04-18,2024-05-21,5.0,5.0,4.92,5.0,5.0,STR-397937,f,1,0,0,0.18
48,891661,2024-09-18,4737456,Paolo,2013-01-17,"Boston, MA",within a day,1.0,0.73,t,2,2,t,t,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,80.0,29,365,29.0,29.0,365.0,365.0,29.0,365.0,t,0,2,2024-09-18,613,10,0,2013-03-19,2023-10-28,4.7,4.83,4.81,4.82,4.92,STR-400168,f,1,0,0,4.38
49,894539,2024-09-18,4762495,Jennifer,2013-01-19,"Boston, MA",within an hour,1.0,0.82,t,2,3,t,t,Private room in bed and breakfast,Private room,2,1.5,1.5 shared baths,1.0,1.0,100.0,29,1124,29.0,29.0,1124.0,1124.0,29.0,1124.0,t,0,2,2024-09-18,63,0,0,2013-10-15,2022-08-30,4.85,4.92,4.79,4.92,4.77,STR-408484,f,0,2,0,0.47
50,962610,2024-09-18,4434391,Damon,2012-12-18,"Boston, MA",within an hour,1.0,0.98,t,2,3,t,t,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,141.0,6,100,6.0,6.0,100.0,100.0,6.0,100.0,t,9,65,2024-09-18,101,5,2,2013-08-01,2024-08-31,4.9,4.95,4.99,4.92,4.7,STR-523304,f,2,0,0,0.75
51,973695,2024-09-18,1760577,Claire,2012-02-16,"Boston, MA",within an hour,1.0,1.0,t,4,4,t,t,Private room in condo,Private room,4,1.0,1 private bath,1.0,2.0,200.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,30,90,2024-09-18,61,0,0,2013-09-15,2022-09-11,4.76,4.79,4.89,4.69,4.8,,f,0,1,0,0.45
52,989163,2024-09-18,5430185,Laura And Olivia,2013-03-12,"Brookline, MA",within an hour,1.0,0.98,t,8,8,t,t,Room in aparthotel,Entire home/apt,2,1.0,1 bath,0.0,1.0,245.0,2,365,2.0,3.0,1125.0,1125.0,2.0,1125.0,t,9,67,2024-09-18,82,9,1,2013-09-02,2024-09-01,4.84,4.79,4.95,4.89,4.95,,t,7,0,0,0.61
53,1055627,2024-09-18,4299002,Lauren,2012-12-01,"Boston, MA",,1.0,0.9,f,2,3,t,f,Entire rental unit,Entire home/apt,3,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,0,0,2024-09-18,8,0,0,2013-04-16,2018-09-09,4.25,4.25,3.75,4.88,5.0,,f,1,1,0,0.06
54,1071235,2024-09-18,965697,Chris & Kristina,2011-08-13,"Boston, MA",within an hour,1.0,0.99,t,2,4,t,t,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,143.0,3,180,2.0,3.0,180.0,180.0,3.0,180.0,t,1,43,2024-09-18,368,41,4,2013-05-10,2024-09-10,4.84,4.89,4.9,4.95,4.9,STR-409453,f,2,0,0,2.66
55,1077105,2024-09-18,5927277,J,2013-04-14,,,1.0,0.9,f,1,1,t,f,Entire rental unit,Entire home/apt,2,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,0,0,2024-09-18,0,0,0,,,4.84,4.89,4.9,4.95,4.9,,f,1,0,0,
56,1090545,2024-09-18,1984434,Irene,2012-03-21,"Boston, MA",,1.0,0.9,f,1,9,t,t,Private room in home,Private room,1,1.0,1 private bath,1.0,1.0,214.0,29,365,29.0,29.0,365.0,365.0,29.0,365.0,t,29,89,2024-09-18,117,0,0,2013-06-07,2019-12-06,4.63,4.63,4.69,4.82,4.98,STR-398748,f,0,1,0,0.85
57,1109224,2024-09-18,1531239,Lita,2011-12-23,"Boston, MA",within a few hours,1.0,1.0,f,1,1,t,t,Entire condo,Entire home/apt,8,2.0,2 baths,4.0,6.0,519.0,2,1125,2.0,3.0,1125.0,1125.0,2.3,1125.0,t,10,53,2024-09-18,93,3,0,2013-09-02,2024-05-26,4.74,4.84,4.74,4.86,4.69,STR-399217,f,1,0,0,0.69
58,1130279,2024-09-18,2494599,Trisha,2012-05-29,"Boston, MA",within an hour,1.0,0.98,t,1,1,t,f,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,571.0,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,13,65,2024-09-18,164,28,1,2013-05-22,2024-09-02,4.78,4.78,4.79,4.91,4.95,STR-466324,f,1,0,0,1.19
59,1252489,2024-09-18,6824319,Samantha,2013-06-09,"Boston, MA",,1.0,0.9,f,1,1,t,t,Entire rental unit,Entire home/apt,2,1.2,1 bath,1.0,1.0,213.0,91,365,91.0,91.0,365.0,365.0,91.0,365.0,t,0,0,2024-09-18,64,0,0,2013-06-15,2017-08-28,4.92,4.98,4.84,4.89,5.0,,f,1,0,0,0.47
60,1275498,2024-09-18,5430185,Laura And Olivia,2013-03-12,"Brookline, MA",within an hour,1.0,0.98,t,8,8,t,t,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,344.0,2,365,2.0,3.0,1125.0,1125.0,2.0,1125.0,t,8,46,2024-09-18,110,16,1,2013-08-11,2024-09-11,4.84,4.86,4.94,4.92,4.97,Exempt: This listing is a hotel or motel,t,7,0,0,0.81
61,1303261,2024-09-18,2120816,Larry,2012-04-11,"Boston, MA",within an hour,1.0,0.9,f,1,1,t,t,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,425.0,91,180,91.0,91.0,180.0,180.0,91.0,180.0,t,23,83,2024-09-18,23,0,0,2013-10-07,2018-10-25,4.45,4.91,4.48,4.83,5.0,,f,1,0,0,0.17
62,1321422,2024-09-18,6608084,CarneyFamily,2013-05-27,"Boston, MA",within an hour,1.0,0.98,t,2,7,t,t,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,4.0,155.0,2,45,1.0,2.0,1125.0,1125.0,2.0,1125.0,t,1,1,2024-09-18,667,63,9,2013-07-17,2024-09-13,4.89,4.92,4.95,4.94,4.8,STR-487240,f,1,1,0,4.9
